﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6week,kg/ha,TotalYield,Table1,30/08/1984,12/10/1984,1470,,34.186,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6weekGR,kg/ha,TotalYield,Table1,26/04/1984,07/08/1984,2678,,26,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,3_Dargaville Research Area_3,-35.9,173.8,,,Pasture,Resident,,RPM,,,,,,,"Bulls_3- or 6-week, autumn and winter.",Kikuyu,,,,,6weekGR,kg/ha,TotalYield,Table1,30/08/1984,12/10/1984,1406.1,,32.7,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,3week,kg/ha,TotalYield,Table1,09/04/1982,13/08/1982,1720,,13.6508,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,3week,kg/ha,TotalYield,Table1,13/08/1982,15/10/1982,1010,,16.0317,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,3weekGR,kg/ha,TotalYield,Table1,09/04/1982,13/08/1982,2696.4,,21.4,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,3weekGR,kg/ha,TotalYield,Table1,13/08/1982,15/10/1982,875.7,,13.9,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,9week,kg/ha,TotalYield,Table1,09/04/1982,13/08/1982,2560,,20.3175,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,9week,kg/ha,TotalYield,Table1,13/08/1982,15/10/1982,1280,,20.3175,0,,,,
Published,Grazing rotation length on kikuyu grass pastures in autumn and winter," Piggot, G.J.  & Morgan, H.M."," New Zealand Journal of Experimental Agriculture",1987,15,111-113,https://doi.org/10.1080/03015521.1987.10425545,10.1080/03015521.1987.10425545,,Northland,Dargaville,Dargaville Research Area_1,-35.9,173.8,,,Pasture,Resident,,RPM,,50,,,,,"Bulls_3- or 9-week, autumn and winter;",Kikuyu,,,,,9weekGR,kg/ha,TotalYield,Table1,09/04/1982,13/08/1982,2104.2,,16.7,0,,,,
