﻿Published/unpublished,Title,Author(s),Journal,Pub Year,Volume,Pages,Url,DOI,Description/Notes,Region,Location Name,Site Name,Latitude,Longitude,Altitude,Soil Types,Is it pasture/crop?,Is it resident/sown?,Sowing Date,Harvest Method,Irrigation Level,kgNyr,kgPyr,kgKyr,kgSyr,kgLimeyr,Defoliation Method,Dominant Species,Cultivar,Flowering Date,Additional Species,Cultivars,Experiment Name,Measurement Unit,What yield are you recording?,Data Source,Start Date,End Date,DM Yield,Grain Yield,Growth Rate,Annual Yield,Met Files,Photos,Soil Water Data,Raw Data
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,16/05/2016,11/06/2016,2480,,95.3846,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,16/08/2016,13/09/2016,1475,,52.6786,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,15/04/2016,16/05/2016,3000,,96.7742,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,23/07/2016,16/08/2016,1488,,62,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,13/09/2016,22/10/2016,1650,,42.3077,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,30 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,11/06/2016,23/07/2016,1700,,40.4762,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,16/05/2016,11/06/2016,2800,,107.6923,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,16/08/2016,13/09/2016,1680,,60,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,15/04/2016,16/05/2016,3100,,100,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,23/07/2016,16/08/2016,1770,,73.75,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,13/09/2016,22/10/2016,1900,,48.7179,0,,,,
Unpublished,Beef Profit from Pasture Group: Technical Summary 2_2017,Beef Profit from Pasture Group,,,,,,,Pukegreen(Peggy & George Morrison) Kaingaroa Far North,Northland,Far North_Kaingaroa,Kaingaroa,-35.04,173.334248,,,Pasture,Sown,,,,,,,,,Cattle:30 and 60 days rotation,Kikuyu,,,PERY,,60 Days defoliation rotation,kg/ha,TotalYield,Figure 1 Digitised,11/06/2016,23/07/2016,2000,,47.619,0,,,,
