"# Source: Hicks, D. & Curran-Cournane, F. (2017). Auckland Council Technical"
"# Report TR2017/020, Appendix 2: Pasture yields and stocking rates for Auckland"
"# farm-scale land use capability (checked version, Feb 2017)."
"# Transcribed via layout-aware text parsing from the source PDF, 2026-07-17,"
# spot-checked against the two rows already used in pasture_growth_curve.csv.
"# Yields in tonnes DM/ha/yr at 1500mm mean annual rainfall (model output, for"
# cross-LUC comparison — not a site-specific rainfall figure).
"# The West_Auckland row in pasture_growth_curve.csv (6900 kg DM/ha/yr, 9.0 SU/ha)"
# is the average of the 'regolithic footslopes' semi-improved rows for
"# 'banded or massive sandstone' (6.3 t, 8 SU/ha) and 'claystone, mudstone, shale'"
"# (7.5 t, 10 SU/ha) below."

section,geology,nzsc_soil_group,landform_characteristics,farm_luc_class,subclass,yield_suffix,pasture_growth_unimproved_tdm_ha_yr,pasture_growth_semiimproved_tdm_ha_yr,pasture_growth_improved_tdm_ha_yr,stocking_rate_unimproved_su_ha,stocking_rate_semiimproved_su_ha,stocking_rate_improved_su_ha
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,occasionally flooded,5,a,~,3.5,5.6,7.0,4,7,13
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,regularly flooded,6,a,~,2.6,4.2,5.3,3,6,10
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sulphuric raw,frequently flooded,7,a,~,1.7,2.7,3.4,2,4,6
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","estuary-margin mud, sand or shell",sandy raw,sandy or shelly,6,a+r,~,no data,no data,no data,no data,no data,no data
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,occasionally flooded,5,f,@,3.2,5.0,6.3,3,7,11
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,regularly flooded,6,f,@,2.3,3.7,4.6,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS","floodway sand, silt or clay",gley or fluvial raw,frequently flooded,7,f,@,1.5,2.4,3.0,2,3,5
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,semi-drained swamp,5,o,(,2.3,3.7,4.6,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,seasonal swamp,6,o,(,1.7,2.7,3.4,2,4,6
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",swamp peat,mesic or humic organic,permanent swamp,7,o,(,1.1,1.7,2.1,1,2,4
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",dune peat,sandy organic,semi-drained swamp,5,o,),2.9,4.6,5.8,3,6,10
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",dune peat,sandy organic,seasonal swamp,6,o,),2.1,3.4,4.3,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",dune peat,sandy organic,permanent swamp,7,o,),1.4,2.2,2.8,1,3,5
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",streambank deposits,various soils,stable,5,b,,3.2,5.0,6.3,3,7,11
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",streambank deposits,various soils,"unstable, moderate",6,b,,2.3,3.7,4.6,2,5,8
"ESTUARIES, FLOODWAYS, SWAMPS, STREAMBANKS",streambank deposits,various soils,"unstable, steep",7,b,,1.5,2.4,3.0,2,3,5
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",estuarine alluvium,sulphuric gley,free-draining,2,a+e,~,6.0,9.5,11.9,6,13,22
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",estuarine alluvium,sulphuric gley,poorly drained,3,a+e,~,4.5,7.1,8.9,5,9,16
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",estuarine alluvium,sulphuric gley,seasonally wet,4,a+e,~,3.0,4.7,5.9,3,6,11
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",estuarine alluvium,sandy recent or orthic melanic,sandy or shelly,5,a+r,~,no data,no data,no data,no data,no data,no data
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",stream alluvium,fluvial recent or recent gley,free-draining,2,w+e,@,6.6,10.5,13.1,7,14,24
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",stream alluvium,fluvial recent or recent gley,poorly drained,3,w+e,@,5.3,8.4,10.5,6,11,19
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",stream alluvium,fluvial recent or recent gley,seasonally wet,4,w+e,@,4.0,6.3,7.9,4,8,14
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",peat or peaty alluvium,mesic or humic organic,free-draining,2,o+e,(,4.9,7.8,9.8,5,10,18
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",peat or peaty alluvium,mesic or humic organic,poorly drained,3,o+e,(,3.9,6.2,7.8,4,8,14
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",peat or peaty alluvium,mesic or humic organic,seasonally wet,4,o+e,(,2.9,4.6,5.8,3,6,10
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",sandy peat or peaty sand,sandy organic,free-draining,2,o+e,),6.0,9.6,12.0,6,13,22
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",sandy peat or peaty sand,sandy organic,poorly drained,3,o+e,),4.9,7.7,9.6,5,10,18
"RECLAIMED FLATS, FLOODPLAINS, DRAINED SWAMPS",sandy peat or peaty sand,sandy organic,seasonally wet,4,o+e,),3.7,5.8,7.3,4,8,13
LOW FLAT TERRACES,shallow stream alluvium,recent or orthic gley,free-draining,2,a,~,7.2,11.4,14.3,8,15,26
LOW FLAT TERRACES,shallow stream alluvium,recent or orthic gley,poorly drained,3,a,~,5.4,8.6,10.8,6,11,20
